trace_id,step,x,y,heading,speed,action,reward
0,0,5.006353378295898,6.9979166984558105,-0.0012721920527312136,0.2738379316999147,"[-0.9492835998535156, 1.0]",0.007585648988548054
0,1,5.036839962005615,6.986577987670898,-0.008431967485353908,0.5324417258828856,"[-1.0, 1.0]",0.03288257147618978
0,2,5.08991813659668,6.9624552726745605,-0.02201954852499277,0.7825645502760784,"[-1.0, 1.0]",0.05659971506730681
0,3,5.16375732421875,6.924357891082764,-0.04265891381505327,1.0237731051614327,"[-1.0, 1.0]",0.07844616659529675
0,4,5.25739049911499,6.872265338897705,-0.07058109258009715,1.2618506005875862,"[-1.0, 1.0]",0.09931150259888437
0,5,5.369957447052002,6.805493354797363,-0.10531883320687285,1.4958254616642475,"[-1.0, 1.0]",0.11929816251450083
0,6,5.500445365905762,6.722919464111328,-0.14634203348039954,1.7333520540979084,"[-0.9740132689476013, 1.0]",0.13828800309720035
0,7,5.649099826812744,6.624083995819092,-0.1926418879797538,1.983315158981442,"[-0.916799008846283, 1.0]",0.15757937912239892
0,8,5.817441940307617,6.508978843688965,-0.24265658588366001,2.2509488536057867,"[-0.8318799138069153, 1.0]",0.17847138333609908
0,9,6.00800085067749,6.378129959106445,-0.29420033772743537,2.539471946237995,"[-0.715606689453125, 1.0]",0.20198653412794404
0,10,6.223905086517334,6.232680797576904,-0.34426909780146975,2.844650227214572,"[-0.5752002000808716, 1.0]",0.22870516186230933
0,11,6.467719078063965,6.073999881744385,-0.3896026242992887,3.156409883570384,"[-0.4317542314529419, 1.0]",0.25801783602269757
0,12,6.74049711227417,5.902946949005127,-0.4277998111820773,3.4667568607231667,"[-0.306054949760437, 1.0]",0.2883784400834593
0,13,7.042006492614746,5.719623565673828,-0.4579240246944547,3.772955049244047,"[-0.20530299842357635, 1.0]",0.3184876780621744
0,14,7.3716278076171875,5.523861408233643,-0.4801680776993411,4.075301598156357,"[-0.12702640891075134, 1.0]",0.347960172194145
0,15,7.728985786437988,5.315781593322754,-0.4952144052260703,4.3748638871335555,"[-0.06636440753936768, 1.0]",0.3770448663129018
0,16,8.114115715026855,5.096006393432617,-0.5038387861001841,4.672564566146349,"[-0.01860908791422844, 1.0]",0.40615646913652576
0,17,8.527857780456543,4.866572380065918,-0.5061296372698694,4.967468537237899,"[0.03754343464970589, 1.0]",0.43609567384725806
0,18,8.971489906311035,4.630376815795898,-0.5017988047051833,5.2619613509975585,"[0.0694984570145607, 1.0]",0.4673109519339812
0,19,9.445612907409668,4.389050006866455,-0.49196521553811934,5.555313575465189,"[0.09978356957435608, 1.0]",0.49912191218822616
0,20,9.951408386230469,4.145710468292236,-0.4767224798809959,5.846875702091575,"[0.1300068497657776, 1.0]",0.5321064194802129
0,21,10.490194320678711,3.904308557510376,-0.4558679311748586,6.136715819602249,"[0.15729062259197235, 1.0]",0.5664011556364523
0,22,11.062821388244629,3.6758453845977783,-0.42617341870436576,6.334971402482669,"[0.3258707523345947, 1.0]",0.60113443887709
0,23,11.67178726196289,3.4846577644348145,-0.37761480412646087,6.590465596951987,"[0.3427014946937561, 1.0]",0.6386229689045456
0,24,12.317626953125,3.3272511959075928,-0.3190923718041878,6.875033369962839,"[0.32117050886154175, 1.0]",0.6767773413269421
0,25,12.99885082244873,3.1958673000335693,-0.2609089598886811,7.178667752088051,"[0.25935742259025574, 1.0]",0.7135278742081267
0,26,13.713996887207031,3.081651449203491,-0.21066243381188343,7.486698516146302,"[0.1861741989850998, 1.0]",0.7488362080809592
0,27,14.461709022521973,2.977886438369751,-0.1719531210514731,7.791851611631995,"[0.12153715640306473, 1.0]",0.7827754675672853
0,28,15.240859985351562,2.880108118057251,-0.1447694368567074,8.093303687420953,"[0.0743211954832077, 1.0]",0.8155708294229841
