trace_id,step,x,y,heading,speed,action,reward,label
0,0,6.6802215576171875,6.996258735656738,-0.002056892467923177,21.059894648459355,"[-0.3312658965587616, 1.0]",1.7749910835352547,True
0,1,8.780479431152344,6.95750093460083,-0.020792230736629946,20.808792559083898,"[-0.8238170146942139, 0.7081003785133362]",2.1938974400510336,True
0,2,10.850749969482422,6.846870422363281,-0.059043479789547604,20.454638812374462,"[-0.89374178647995, 0.5724979639053345]",2.162316412985763,True
0,3,12.88503360748291,6.653469562530518,-0.10825470199257659,20.333487860733328,"[-0.6251055598258972, 1.0]",2.1257843333737885,True
0,4,14.899211883544922,6.382905960083008,-0.15903505870988077,20.271991548595278,"[-0.46482908725738525, 1.0]",2.1054022380306905,True
0,5,16.895540237426758,6.033637046813965,-0.20676329965989915,20.240205952447685,"[-0.33581772446632385, 1.0]",2.0874092806678504,True
0,6,18.873939514160156,5.601511001586914,-0.25202665186299456,20.282455298217208,"[-0.15343856811523438, 1.0]",2.069670325575376,True
0,7,20.84419822692871,5.102279186248779,-0.2850425256869791,20.482634906363174,"[0.046614885330200195, 1.0]",2.062430569847189,True
0,8,22.826862335205078,4.580938816070557,-0.27866998067258386,20.60802425999497,"[0.18096715211868286, 1.0]",2.0754002174463446,True
0,9,24.83002281188965,4.087859153747559,-0.23912523427821508,20.716833106431046,"[0.21747007966041565, 1.0]",2.09638622566351,True
0,10,26.858552932739258,3.664421319961548,-0.19227250753655944,20.754402261725236,"[0.2918931543827057, 1.0]",2.121924931027373,True
0,11,28.905967712402344,3.324291706085205,-0.14436623426766904,20.76112132921824,"[0.3132990002632141, 1.0]",2.140839825644568,True
0,12,30.966224670410156,3.0696730613708496,-0.09699991690979282,20.755660313509964,"[0.3022439777851105, 1.0]",2.1536574294186073,True
0,13,33.0347785949707,2.901127576828003,-0.05058754385438213,20.750981671047867,"[0.2725384533405304, 1.0]",2.161933342080262,True
0,14,35.10834884643555,2.8196942806243896,-0.0051530835512485496,20.757349362267068,"[0.22992879152297974, 1.0]",2.1669783235950457,True
0,15,37.184600830078125,2.8260412216186523,0.039422640458388614,20.785253056754634,"[0.17593687772750854, 1.0]",2.169785622397974,True
0,16,39.262367248535156,2.9206743240356445,0.08320407667291008,20.85362378919016,"[0.10768240690231323, 1.0]",2.171607725508387,True
0,17,41.34452819824219,3.099085569381714,0.12303404762002579,21.054695153135604,"[0.013973655179142952, 1.0]",2.1769070778961415,True
0,18,43.43840789794922,3.3346550464630127,0.14234835710971616,21.182296328598046,"[-0.11891371011734009, 1.0]",2.1892000331857226,True
0,19,45.54591369628906,3.5629262924194336,0.1158413821479396,21.28049961777901,"[-0.24610234797000885, 1.0]",2.2032680466198493,True
0,20,47.66819381713867,3.734647274017334,0.07102104679217902,21.336860409617085,"[-0.27646246552467346, 1.0]",2.2182959926928865,True
0,21,49.80091094970703,3.8236000537872314,0.02290704695826218,21.379645402114484,"[-0.2395661473274231, 1.0]",2.2289255368778744,True
0,22,51.94017028808594,3.825132131576538,-0.02536940570214874,21.439219182772966,"[-0.16145560145378113, 1.0]",2.1839118363507986,True
0,23,54.075069427490234,3.743011951446533,-0.07068335796595626,21.13272256682402,"[-1.0, 0.33671340346336365]",2.1344331625958692,True
0,24,56.17269515991211,3.588883876800537,-0.1085535086668834,20.6586215170707,"[-1.0, -0.2142198383808136]",2.0195796793557674,True
0,25,58.21511459350586,3.367342948913574,-0.14209988418001185,20.095049106979737,"[-1.0, -0.32495513558387756]",2.2611675450032642,True
0,26,60.19167709350586,3.0809619426727295,-0.1740615456864889,19.486239537366878,"[-1.0, -0.36605051159858704]",2.064535648201775,True
0,27,62.09608840942383,2.7333836555480957,-0.20517858565324687,18.851705072196975,"[-1.0, -0.39404505491256714]",1.8718051318905453,True
0,28,63.923763275146484,2.330169439315796,-0.23507523205047676,18.17112296561203,"[-1.0, -0.4113028645515442]",-5.0,False
1,0,6.719399452209473,3.5037546157836914,0.0020801951274611596,21.67717563013264,"[0.03310471773147583, 1.0]",1.8169467425450696,True
1,1,8.889704704284668,3.5129988193511963,0.004835634749311701,21.850719184099418,"[-0.11181521415710449, 1.0]",2.2686334884036428,True
1,2,11.077441215515137,3.46182918548584,-0.027883429771184076,22.014983413901522,"[-0.13319596648216248, 1.0]",2.2868039365930257,True
1,3,13.278081893920898,3.34900164604187,-0.06395328357521723,22.136731011514847,"[0.10914561152458191, 1.0]",2.3002559679575785,True
1,4,15.49135971069336,3.2460694313049316,-0.05527763685012044,22.24767766178394,"[0.21847164630889893, 1.0]",2.3133923662504885,True
1,5,17.712688446044922,3.1841156482696533,-0.02246150010789183,22.15909129823015,"[0.2329304814338684, 1.0]",2.3210446461935983,True
1,6,19.930490493774414,3.1934127807617188,0.017734256014946936,22.22307329416667,"[0.23080146312713623, 1.0]",2.3178058775532424,True
1,7,22.148313522338867,3.287477970123291,0.06132474357930917,22.134171297193454,"[0.20365038514137268, 1.0]",2.3174267994018236,True
1,8,24.356794357299805,3.4697628021240234,0.10555132717003701,22.228841635323143,"[0.12396523356437683, 1.0]",2.3085106223198917,True
1,9,26.564281463623047,3.7208590507507324,0.14018786767538938,22.194099322369425,"[-0.022434113547205925, 1.0]",2.3073605532739045,True
1,10,28.768930435180664,3.992476463317871,0.14009052913754694,22.283370068628884,"[-0.23074230551719666, 1.0]",2.3049241368664473,True
1,11,30.981050491333008,4.232233047485352,0.10494612381231683,22.165639535936627,"[-0.304548442363739, 1.0]",2.3118654340640585,True
1,12,33.19239807128906,4.398087978363037,0.0602498917633536,22.187661327063857,"[-0.30783167481422424, 1.0]",2.311192055927842,True
1,13,35.410282135009766,4.47734260559082,0.013393170280062705,22.212626326846244,"[-0.25789675116539, 1.0]",2.3178408821915113,True
1,14,37.63279342651367,4.469642639160156,-0.03250721005577972,22.26908284027904,"[-0.15367808938026428, 1.0]",2.322722164285162,True
1,15,39.856231689453125,4.375714302062988,-0.07646081963477425,22.219546563886848,"[-0.04195663332939148, 1.0]",2.323426222476944,True
1,16,42.07662582397461,4.219250679016113,-0.10726986502146474,22.40132019497849,"[0.06413400173187256, 1.0]",2.3212000753988877,True
1,17,44.308448791503906,4.055815696716309,-0.09473409945435307,22.34105782091137,"[0.10207992792129517, 1.0]",2.332357727723398,True
1,18,46.53799819946289,3.9276247024536133,-0.0520677287882485,22.294750536440183,"[0.07148918509483337, 1.0]",2.3298757853729652,True
1,19,48.76423645019531,3.8724827766418457,-0.006733935974319927,22.184824558969186,"[0.2626815140247345, 1.0]",2.326069961247783,True
1,20,50.98575973510742,3.904904842376709,0.04050335122874227,22.299980346630388,"[0.09382888674736023, 1.0]",2.2294480009545365,True
1,21,53.20574188232422,4.004266262054443,0.07677960001725737,21.9906886932959,"[-0.976816713809967, 0.37832650542259216]",2.112926621617613,True
1,22,55.38972091674805,4.10125207901001,0.06999240082113545,21.316086435227252,"[-1.0, -0.3078182637691498]",2.444315329464407,True
1,23,57.503475189208984,4.165481090545654,0.031518511501087865,20.519044929645034,"[-1.0, -0.4281662404537201]",2.011095708753579,True
1,24,59.54111862182617,4.16414737701416,-0.014836204116722485,19.82557279509611,"[-1.0, -0.4230908453464508]",-5.0,False
2,0,6.694293022155762,3.503755807876587,0.002082059340223985,21.357997494697425,"[0.03267344832420349, 1.0]",1.7904040108819002,True
2,1,8.832414627075195,3.512528419494629,0.0046428218863896475,21.51638254097808,"[-0.11996856331825256, 1.0]",2.234945326353835,True
2,2,10.985869407653809,3.4605555534362793,-0.028276778664189095,21.645491444753187,"[-0.16062021255493164, 1.0]",2.2508594920800027,True
2,3,13.150799751281738,3.3470301628112793,-0.06477060771376308,21.83999889508289,"[0.04798877239227295, 1.0]",2.263210338655803,True
2,4,15.334505081176758,3.2415144443511963,-0.05707393900537916,21.980395333493973,"[0.14963659644126892, 1.0]",2.2826171088957423,True
2,5,17.53453826904297,3.1751043796539307,-0.02511893540162724,22.13016951324707,"[0.1380327045917511, 1.0]",2.2996189506758227,True
2,6,19.750337600708008,3.1776275634765625,0.013171062645150222,22.267956713357837,"[0.12481734156608582, 1.0]",2.3160051368751495,True
2,7,21.973724365234375,3.261660099029541,0.05386922410763262,22.21846043392896,"[0.0690838098526001, 1.0]",2.3233698364790474,True
2,8,24.19593048095703,3.408926248550415,0.08423725001780547,22.451184866497137,"[-0.028347311541438103, 1.0]",2.3232364476218934,True
2,9,26.432851791381836,3.56455135345459,0.07741503025335028,22.381902712483207,"[-0.15023845434188843, 1.0]",2.3376398726309793,True
2,10,28.666431427001953,3.6749417781829834,0.04361458917222727,22.294950002704176,"[-0.20306971669197083, 1.0]",2.333906910632286,True
2,11,30.894126892089844,3.7079739570617676,0.00024394555585161015,22.22056326587723,"[-0.1619744598865509, 1.0]",2.327687999784338,True
2,12,33.12018966674805,3.654269218444824,-0.046551789538476385,22.393858913785564,"[-0.06605848670005798, 1.0]",2.326835139770238,True
2,13,35.354923248291016,3.535614252090454,-0.08125903697077064,22.355175720168006,"[0.04953959584236145, 1.0]",2.335331872283725,True
2,14,37.58560562133789,3.4118895530700684,-0.07257566707851204,22.290454636428073,"[0.12861794233322144, 1.0]",2.3309894189108014,True
2,15,39.81185531616211,3.330103874206543,-0.031263513826712774,22.230174239309378,"[0.12232431769371033, 1.0]",2.326285478901111,True
2,16,42.03358459472656,3.329035520553589,0.018223212391085042,22.171637638349395,"[0.10866114497184753, 1.0]",2.3215016479370254,True
2,17,44.254234313964844,3.4124464988708496,0.06660366149206443,22.362596853512173,"[0.037535160779953, 1.0]",2.321281405079086,True
2,18,46.48427200317383,3.5544373989105225,0.09796571227910977,22.31717989425916,"[-0.08232542872428894, 1.0]",2.3304649987331505,True
2,19,48.7098388671875,3.6914639472961426,0.08091815235123967,22.228318151836618,"[-0.21261480450630188, 1.0]",2.325594295696937,True
2,20,50.928707122802734,3.7818148136138916,0.03343478906345432,22.128303934219762,"[-0.24592910706996918, 1.0]",2.282098643626345,True
2,21,53.134098052978516,3.7911648750305176,-0.017702697556028824,21.79982907373734,"[-1.0, 0.3262209892272949]",2.2235564206218497,True
2,22,55.303287506103516,3.7241098880767822,-0.06342078451525612,21.343364385385954,"[-1.0, -0.20716357231140137]",2.1004094264252284,True
2,23,57.42282485961914,3.587137222290039,-0.10468726455436084,20.837345254934036,"[-1.0, -0.3235655128955841]",2.3570779284872057,True
2,24,59.48574447631836,3.3831472396850586,-0.14242878457463704,20.305563098265637,"[-1.0, -0.3665517270565033]",2.1443873315618585,True
2,25,61.48712158203125,3.114166021347046,-0.17704974558761233,19.751425750720475,"[-1.0, -0.3956453800201416]",1.9361945168544648,True
2,26,63.422542572021484,2.7828564643859863,-0.2087044777784577,19.175700015144304,"[-1.0, -0.41335785388946533]",-5.0,False
3,0,6.681325435638428,3.503758668899536,0.002084589343259502,21.1917197573024,"[0.03267344832420349, 1.0]",1.7766881745462886,True
3,1,8.80277156829834,3.512376308441162,0.004590623929024318,21.347235335376137,"[-0.11859002709388733, 1.0]",2.2175086916691047,True
3,2,10.93925952911377,3.4600958824157715,-0.028448818870607795,21.474705958007554,"[-0.15859371423721313, 1.0]",2.2331241376264637,True
3,3,13.086553573608398,3.3463215827941895,-0.06513705867975794,21.636161833721935,"[0.0631352961063385, 1.0]",2.2446567727463775,True
3,4,15.249800682067871,3.2421250343322754,-0.05709697534880842,21.763497640000182,"[0.16577744483947754, 1.0]",2.2611828478394735,True
3,5,17.427932739257812,3.177854299545288,-0.024599352672952435,21.89982503395886,"[0.15255460143089294, 1.0]",2.276681269842756,True
3,6,19.62032699584961,3.182859182357788,0.014195580716504175,22.020281954955923,"[0.1424867808818817, 1.0]",2.2914855253890987,True
3,7,21.823862075805664,3.2698473930358887,0.055820522238333226,22.174215988927553,"[0.09059587121009827, 1.0]",2.3033190519062288,True
3,8,24.040739059448242,3.4280948638916016,0.08955984377243809,22.418865094583875,"[-0.0015071313828229904, 1.0]",2.3177618765682055,True
3,9,26.272260665893555,3.6149978637695312,0.09272354598939803,22.35701422692454,"[-0.12604358792304993, 1.0]",2.332128170466473,True
3,10,28.50084686279297,3.76672625541687,0.06422945338025876,22.2664908662913,"[-0.20889699459075928, 1.0]",2.328785405797725,True
3,11,30.7242431640625,3.8450369834899902,0.02242048742710434,22.17815399778071,"[-0.1976417899131775, 1.0]",2.3231979942595444,True
3,12,32.944679260253906,3.8360438346862793,-0.024831180845843903,22.271991194288304,"[-0.12598973512649536, 1.0]",2.3206600565657034,True
3,13,35.16919708251953,3.75270414352417,-0.06556369708638865,22.23688540254904,"[-0.0019938331097364426, 1.0]",2.324583806577096,True
3,14,37.38864517211914,3.633697986602783,-0.07869920653098639,22.18288974448229,"[0.09234187006950378, 1.0]",2.3192710934497796,True
3,15,39.61043167114258,3.5345795154571533,-0.047788295232599864,22.406290334980046,"[0.09486645460128784, 1.0]",2.3226148055308475,True
3,16,41.84865951538086,3.500397205352783,-0.002611895239095219,22.356256375570872,"[0.07982051372528076, 1.0]",2.3388309979283504,True
3,17,44.08336639404297,3.53829026222229,0.03649649221066387,22.321548913098788,"[0.016442717984318733, 1.0]",2.335153848771054,True
3,18,46.313255310058594,3.612032413482666,0.050086070621119916,22.26867352086544,"[-0.08275508880615234, 1.0]",2.3300979468595195,True
