id,ego_x,ego_y,ego_vx,ego_vy
0,-105.45412155151368,-102.57267333984376,0.0,0.0
0,-105.45374771118165,-102.56937744140626,0.01567237265408039,0.13709357380867004
0,-105.45353790283204,-102.5534930419922,-0.025459669530391693,0.2542796730995178
0,-105.45390029907227,-102.52544738769532,0.03364957123994827,0.38664931058883667
0,-105.44993682861329,-102.48408081054689,0.06119576096534729,0.5224726796150208
0,-105.44346328735352,-102.42908813476564,0.07927463948726654,0.6593676805496216
0,-105.43522735595704,-102.36042358398439,0.0950755774974823,0.7965105175971985
0,-105.42541595458985,-102.27802612304689,0.11033238470554352,0.9337157607078552
0,-105.41408248901368,-102.18189575195314,0.12519311904907227,1.070967674255371
0,-105.40127273559571,-102.07203247070314,0.13966387510299683,1.2082654237747192
0,-105.3870133972168,-101.94843627929689,0.15385636687278748,1.3455994129180908
0,-105.37134643554688,-101.81110717773439,0.16748298704624176,1.482997179031372
0,-105.35432525634766,-101.66004516601564,0.180609330534935,1.6204510927200317
0,-105.3359880065918,-101.49525024414064,0.19350454211235046,1.7579364776611328
0,-105.3163690185547,-101.31672241210939,0.2058510184288025,1.8954815864562988
0,-105.29552932739259,-101.12443115234376,0.2177717387676239,2.0330729484558105
0,-105.27349563598634,-100.9183612060547,0.22941355407238007,2.1706957817077637
0,-105.2502946472168,-100.69855834960939,0.24083632230758667,2.3083434104919434
0,-105.22594924926759,-100.46496154785157,0.2521052658557892,2.4460082054138184
0,-105.20047470092774,-100.21761657714845,0.2633708119392395,2.5836751461029053
0,-105.17386337280274,-99.95650817871095,0.27473723888397217,2.721332311630249
0,-105.14611145019532,-99.68162109375001,0.286322683095932,2.858968734741211
0,-105.11719223022462,-99.39300109863282,0.29831036925315857,2.9965643882751465
0,-105.08705230712891,-99.09057189941407,0.3108079731464386,3.134106397628784
0,-105.05564590454102,-98.77440979003907,0.3239612281322479,3.2715816497802734
0,-105.02291580200196,-98.44451477050782,0.3379051983356476,3.4089744091033936
0,-104.98876281738282,-98.10088684082032,0.3528243601322174,3.5462658405303955
0,-104.95310302734376,-97.74352600097657,0.36875325441360474,3.6834514141082764
0,-104.91582580566407,-97.37243225097657,0.3858664631843567,3.8205087184906006
0,-104.87681671142579,-96.98765136718751,0.40421196818351746,3.957430839538574
0,-104.83595367431641,-96.58916809082032,0.4238296151161194,4.094210624694824
0,-104.79310317993165,-96.1770281982422,0.4447753131389618,4.230838775634766
